Customer_No,Gender,LiteracyLevel,MaritalStatus,Occupation,ApplicantIncome,LoanHistroy,LoanTerm,LoanAmount,LoanStatus
4405040,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,11586.3,2,36,30000,Rejected
4405041,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,11506.3,2,36,30000,Accepted
4405042,FEMALE,NOT SPECIFIED,MARRIED,FARMING,12499.65,2,36,30000,Accepted
4405043,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,33122.95,2,36,50000,Accepted
4405044,FEMALE,NOT SPECIFIED,SINGLE,TRADE/BUSINESS,6587.0,2,36,10000,Rejected
4405045,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,33333.2,2,36,50000,Rejected
4405046,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,33333.2,2,36,50000,Rejected
4405047,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,19999.8,1,36,30000,Rejected
4405048,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19999.8,1,36,30000,Rejected
4405049,FEMALE,PRIMARY/ELEMENTARY,MARRIED,GOVERNMENT_EMPLOYEE,15277.7,1,36,25000,Accepted
4405050,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,19999.8,2,36,30000,Accepted
4405051,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,8750.0,1,24,15000,Rejected
4405052,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,5833.5,1,24,10000,Rejected
4405053,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,21562.2,1,36,30000,Rejected
4405054,FEMALE,PRIMARY/ELEMENTARY,SINGLE,GOVERNMENT_EMPLOYEE,21666.5,2,36,30000,Rejected
4405055,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,18991.45,1,36,30000,Rejected
4405056,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,18991.45,1,36,30000,Rejected
4405057,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,22499.85,1,36,30000,Rejected
4405058,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,24999.9,1,36,30000,Rejected
4405059,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,17499.75,1,36,30000,Rejected
4405060,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,29560.25,2,36,50000,Rejected
4405061,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,6111.5,1,36,10000,Rejected
4405062,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,9166.9,1,36,15000,Rejected
4405063,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,18333.1,1,36,30000,Accepted
4405064,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,30555.4,3,36,50000,Accepted
4405065,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,30555.4,3,36,50000,Accepted
4405066,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,29166.5,3,36,50000,Accepted
4405067,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,23610.9,3,36,50000,Accepted
4405068,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19999.8,1,36,30000,Rejected
4405069,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,33333.2,2,36,50000,Accepted
4405070,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,5000.0,1,24,15000,Rejected
4405071,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,7500.0,2,24,15000,Rejected
4405072,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,31944.3,2,36,50000,Accepted
4405073,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,8033.6,1,36,15000,Rejected
4405074,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,16699.75,1,36,30000,Rejected
4405075,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,17499.75,1,36,30000,Rejected
4405076,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,15000.0,1,24,30000,Accepted
4405077,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,10000.0,1,24,30000,Rejected
4405078,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,15833.05,2,36,30000,Rejected
4405079,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,21111.3,2,36,40000,Accepted
4405080,FEMALE,PRIMARY/ELEMENTARY,WIDOWED,GOVERNMENT_EMPLOYEE,21111.3,2,36,40000,Accepted
4405081,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,20000.2,2,36,40000,Accepted
4405082,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,15833.05,3,36,30000,Rejected
4405083,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,23610.9,2,36,50000,Accepted
4405084,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,4701.95,2,24,20000,Rejected
4405085,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,19166.45,1,36,30000,Accepted
4405086,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19166.45,1,36,30000,Accepted
4405087,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,18686.45,3,36,30000,Accepted
4405088,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,21715.15,1,36,30000,Accepted
4405089,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,8333.6,2,36,15000,Rejected
4405090,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,13333.4,2,36,20000,Accepted
4405091,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,15116.1,2,36,30000,Accepted
4405092,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,28086.5,2,36,50000,Rejected
4405093,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,6111.5,2,36,10000,Rejected
4405094,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,15118.1,3,36,30000,Accepted
4405095,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,27566.5,3,36,50000,Accepted
4405096,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,11250.0,2,24,30000,Accepted
4405097,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,1874.75,1,24,5000,Rejected
4405098,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,16666.4,1,36,30000,Accepted
4405099,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,16666.4,1,36,30000,Accepted
4405100,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,10555.65,1,36,20000,Accepted
4405101,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,16619.75,1,36,30000,Accepted
4405102,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,15833.05,1,36,30000,Accepted
4405103,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,15833.05,1,36,30000,Accepted
4405104,FEMALE,PRIMARY/ELEMENTARY,SINGLE,TRADE/BUSINESS,15833.05,1,36,30000,Accepted
4405105,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,10555.65,1,36,20000,Accepted
4405106,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,7500.3,2,36,15000,Rejected
4405107,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,7500.3,2,36,15000,Rejected
4405108,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,8750.0,2,24,30000,Rejected
4405109,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,12499.65,2,36,30000,Accepted
4405110,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,3888.45,2,36,10000,Rejected
4405111,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,4166.2,2,36,10000,Rejected
4405112,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,21666.5,1,36,30000,Accepted
4405113,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,19999.8,1,36,30000,Accepted
4405114,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,21666.5,1,36,30000,Accepted
4405115,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,2499.4,2,24,10000,Rejected
4405116,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,6666.8,1,36,20000,Rejected
4405117,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,14999.7,2,36,30000,Accepted
4405118,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,14999.7,2,36,30000,Accepted
4405119,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,2499.8,2,36,5000,Rejected
4405120,FEMALE,NOT SPECIFIED,MARRIED,GOVERNMENT_EMPLOYEE,14999.7,1,36,30000,Accepted
4405121,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,14999.7,1,36,30000,Accepted
4405122,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,15833.05,1,36,30000,Accepted
4405123,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,15833.05,1,36,30000,Accepted
4405124,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,24999.8,3,36,50000,Accepted
4405125,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,24999.8,3,36,50000,Accepted
4405126,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,26388.7,3,36,50000,Accepted
4405127,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,24719.8,2,36,50000,Accepted
4405128,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,24919.8,2,36,50000,Accepted
4405129,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,4599.7,3,24,20000,Rejected
4405130,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,3253.0,1,24,20000,Rejected
4405131,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,3253.0,1,24,20000,Rejected
4405132,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,12500.0,1,24,30000,Accepted
4405133,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,13333.0,1,36,30000,Accepted
4405134,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,13333.0,1,36,30000,Accepted
4405135,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,22223.0,2,36,50000,Accepted
4405136,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,22223.0,2,36,50000,Accepted
4405137,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,14999.7,1,36,30000,Accepted
4405138,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,14166.35,1,36,30000,Accepted
4405139,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,15833.05,2,36,30000,Accepted
4405140,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,15833.05,1,36,30000,Accepted
4405141,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,7777.9,1,36,20000,Rejected
4405142,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,10986.5,1,36,20000,Accepted
4405143,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,18825.35,1,36,30000,Accepted
4405144,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,9999.6,2,36,30000,Rejected
4405145,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,5000.4,2,36,15000,Rejected
4405146,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,2223.0,3,36,10000,Rejected
4405147,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,2138.5,2,24,5000,Rejected
4405148,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,30555.4,2,36,50000,Accepted
4405149,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,30555.4,2,36,50000,Accepted
4405150,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,18686.45,1,36,30000,Accepted
4405151,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,17099.75,1,36,30000,Accepted
4405152,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,29166.5,2,36,50000,Accepted
4405153,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19166.45,1,36,30000,Accepted
4405154,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19166.45,1,36,30000,Accepted
4405155,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,33333.2,2,36,50000,Accepted
4405156,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,10000.0,1,24,30000,Accepted
4405157,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,16266.4,1,36,30000,Accepted
4405158,FEMALE,NOT SPECIFIED,SINGLE,TRADE/BUSINESS,16666.4,1,36,30000,Accepted
4405159,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,11250.0,1,24,30000,Accepted
4405160,FEMALE,PRIMARY/ELEMENTARY,SINGLE,TRADE/BUSINESS,16666.4,1,36,30000,Accepted
4405161,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,18333.1,1,36,30000,Accepted
4405162,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,27777.6,2,36,50000,Accepted
4405163,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,27777.6,2,36,50000,Accepted
4405164,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,18333.1,1,36,30000,Accepted
4405165,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,19999.8,1,36,30000,Accepted
4405166,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,14999.7,1,36,30000,Accepted
4405167,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,16666.4,1,36,30000,Accepted
4405168,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,20065.1,1,36,30000,Accepted
4405169,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,14999.7,1,36,30000,Accepted
4405170,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,24999.8,2,36,50000,Accepted
4405171,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,22068.7,2,36,50000,Accepted
4405172,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,11111.0,1,36,25000,Accepted
4405173,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,13333.0,1,36,30000,Accepted
4405174,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,31764.3,2,36,50000,Accepted
4405175,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,8666.0,2,36,26000,Rejected
4405176,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,7464.95,1,36,30000,Rejected
4405177,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,23839.8,3,36,50000,Accepted
4405178,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,23610.9,2,36,50000,Accepted
4405179,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,9166.25,1,36,30000,Rejected
4405180,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,6715.9,2,36,30000,Rejected
4405181,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,5001.6,2,36,15000,Rejected
4405182,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,2502.0,2,36,15000,Rejected
4405183,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,4700.4,2,36,14100,Rejected
4405184,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,17111.6,2,36,44000,Accepted
4405185,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,20289.2,1,36,33200,Accepted
4405186,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19533.2,1,36,29300,Accepted
4405187,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,5733.6,2,36,17200,Rejected
4405188,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,13875.25,2,36,37000,Accepted
4405189,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,14489.0,3,36,32600,Accepted
4405190,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,6610.9,2,36,14000,Rejected
4405191,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,17094.55,1,36,36200,Rejected
4405192,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,19927.75,1,36,42200,Accepted
4405193,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,13600.0,1,36,28800,Rejected
4405194,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,5600.0,3,36,12600,Rejected
4405195,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,14134.0,3,36,31800,Accepted
4405196,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,14134.0,3,36,31800,Accepted
4405197,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,5291.2,2,36,12700,Rejected
4405198,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,15707.75,2,36,37700,Accepted
4405199,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,13699.65,2,36,31800,Accepted
4405200,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,26667.0,1,36,60000,Accepted
4405201,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,7291.9,2,36,17500,Rejected
4405202,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,20083.1,2,36,48200,Accepted
4405203,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,20083.1,2,36,48200,Accepted
4405204,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,389.5,1,36,1000,Rejected
4405205,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,5445.3,1,36,14000,Rejected
4405206,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,14000.0,1,36,36000,Rejected
4405207,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,9999.8,1,24,20000,Rejected
4405208,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,2000.2,1,24,4000,Rejected
4405209,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,29166.5,3,36,50000,Accepted
4405210,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,18333.1,1,36,30000,Accepted
4405211,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,12222.2,1,36,20000,Accepted
4405212,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,9166.9,2,36,15000,Rejected
4405213,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,20416.25,3,36,35000,Accepted
4405214,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,25948.7,3,36,50000,Accepted
4405215,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,30555.4,3,36,50000,Accepted
4405216,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,11111.2,1,36,20000,Accepted
4405217,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,27777.6,2,36,50000,Accepted
4405218,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,5555.2,1,36,10000,Rejected
4405219,FEMALE,NOT SPECIFIED,MARRIED,FARMING,16666.4,2,36,30000,Accepted
4405220,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,9166.45,1,24,20000,Rejected
4405221,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,9166.45,1,24,20000,Rejected
4405222,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,11111.2,2,36,20000,Accepted
4405223,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,11111.2,2,36,20000,Accepted
4405224,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,16666.4,2,36,30000,Accepted
4405225,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,8333.6,2,36,15000,Accepted
4405226,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,15833.05,1,36,30000,Accepted
4405227,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,15833.05,1,36,30000,Accepted
4405228,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,17499.75,3,36,30000,Accepted
4405229,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,26148.7,3,36,50000,Accepted
4405230,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,16666.4,3,36,30000,Accepted
4405231,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,8253.45,2,36,20000,Accepted
4405232,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,16666.4,2,36,30000,Accepted
4405233,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,26388.7,2,36,50000,Accepted
4405234,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19999.8,1,36,30000,Accepted
4405235,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,16666.4,1,36,30000,Accepted
4405236,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,2083.0,1,24,10000,Rejected
4405237,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,4999.7,2,24,20000,Accepted
4405238,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,2499.4,1,24,10000,Rejected
4405239,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,2083.65,2,24,10000,Rejected
4405240,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,4999.5,1,36,30000,Rejected
4405241,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,14999.7,2,36,30000,Accepted
4405242,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,14999.7,1,36,30000,Rejected
4405243,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,14999.7,1,36,30000,Rejected
4405244,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,9722.1,1,36,25000,Rejected
4405245,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,11666.3,1,36,30000,Rejected
4405246,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,2500.75,3,36,10000,Accepted
4405247,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,6500.0,3,36,18000,Accepted
4405248,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,10832.95,3,36,30000,Accepted
4405249,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,15833.05,3,36,30000,Accepted
4405250,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,14166.35,3,36,30000,Accepted
4405251,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,1666.0,2,24,10000,Rejected
4405252,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,1666.0,2,24,10000,Rejected
4405253,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,7499.55,1,36,30000,Rejected
4405254,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,4999.5,1,36,30000,Rejected
4405255,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,17499.75,1,36,30000,Rejected
4405256,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19166.45,2,36,30000,Accepted
4405257,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,3940.2,1,36,6000,Rejected
4405258,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,14166.35,1,36,30000,Rejected
